1,1,Cheese - Marble,$92.67 ,http://dummyimage.com/220x100.png/cc0000/ffffff,TRUE,1994
2,2,Wine - Ej Gallo Sonoma,$88.09 ,http://dummyimage.com/156x100.png/dddddd/000000,TRUE,1991
3,2,Wasabi Paste,$145.33 ,http://dummyimage.com/199x100.png/cc0000/ffffff,FALSE,2006
3,3,Wasabi Paste,$145.33 ,http://dummyimage.com/199x100.png/cc0000/ffffff,FALSE,1500
4,4,Pineapple - Regular,$34.06 ,http://dummyimage.com/115x100.png/5fa2dd/ffffff,FALSE,2004
5,4,Energy Drink - Franks Original,$193.34 ,http://dummyimage.com/238x100.png/cc0000/ffffff,TRUE,1995
6,4,Sugar - Fine,$137.66 ,http://dummyimage.com/235x100.png/ff4444/ffffff,FALSE,2004
6,5,Sugar - Fine,$137.66 ,http://dummyimage.com/235x100.png/ff4444/ffffff,FALSE,1650
7,5,Puree - Raspberry,$96.38 ,http://dummyimage.com/190x100.png/5fa2dd/ffffff,TRUE,2010
8,5,Wine - Malbec Trapiche Reserve,$171.34 ,http://dummyimage.com/157x100.png/5fa2dd/ffffff,TRUE,2011
9,5,"Octopus - Baby, Cleaned",$77.19 ,http://dummyimage.com/177x100.png/5fa2dd/ffffff,FALSE,1991
10,5,Amarula Cream,$183.67 ,http://dummyimage.com/150x100.png/dddddd/000000,TRUE,2012